,Postal Code,Borough,Neighbourhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7611243,-79.3240594
1,M4A,North York,Victoria Village,43.732658,-79.3111892
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6449033,-79.3818364
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.7164765,-79.4424487
4,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6625296,-79.5311946
5,M1B,Scarborough,"Malvern, Rouge",43.8091955,-79.2217008
6,M3B,North York,Don Mills,43.775347,-79.3459439
7,M6B,North York,Glencairn,43.7087117,-79.4406853
8,M3C,North York,Don Mills,43.775347,-79.3459439
9,M4C,East York,Woodbine Heights,43.69992,-79.319279
10,M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
11,M6C,York,Humewood-Cedarvale,43.6883215,-79.4280805
12,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7534804,-79.1799949
13,M4E,East Toronto,The Beaches,43.6710244,-79.296712
14,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591138858
15,M1G,Scarborough,Woburn,43.7598243,-79.2252908
16,M4G,East York,Leaside,43.7047983,-79.3680904
17,M5G,Downtown Toronto,Central Bay Street,43.6556436,-79.3837005
18,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
19,M1H,Scarborough,Cedarbrae,43.75646655,-79.22669244258802
20,M2H,North York,Hillcrest Village,43.6816953,-79.4257118
21,M4H,East York,Thorncliffe Park,43.704553,-79.3454074
22,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6602019,-79.4357191
23,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
24,M3J,North York,"Northwood Park, York University",43.7706699,-79.50334760664649
25,M2K,North York,Bayview Village,43.7691966,-79.3766617
26,M3K,North York,Downsview,43.7492988,-79.462248
27,M2L,North York,"York Mills, Silver Hills",43.7572882,-79.3603386
28,M3L,North York,Downsview,43.7492988,-79.462248
29,M9L,North York,Humber Summit,43.7600778,-79.5717598
30,M2M,North York,"Willowdale, Newtonbrook",43.7895756,-79.4175882
31,M3M,North York,Downsview,43.7492988,-79.462248
32,M4M,East Toronto,Studio District,43.64958515,-79.39068322559326
33,M5M,North York,"Bedford Park, Lawrence Manor East",43.7373876,-79.4109253
34,M2N,North York,"Willowdale, Willowdale East",43.7739798,-79.4138331
35,M3N,North York,Downsview,43.7492988,-79.462248
36,M4N,Central Toronto,Lawrence Park,43.729199,-79.4032525
37,M5N,Central Toronto,Roselawn,43.7074896,-79.4154939
38,M6N,York,"Runnymede, The Junction North",43.6517026,-79.4759978
39,M9N,York,Weston,43.7001608,-79.5162474
40,M2P,North York,York Mills West,43.7440391,-79.406657
41,M4P,Central Toronto,Davisville North,43.697936,-79.3972908
42,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.701028,-79.4255998
43,M6P,West Toronto,"High Park, The Junction South",43.6538668,-79.4668644
44,M9P,Etobicoke,Westmount,43.6936399,-79.5210426
45,M2R,North York,"Willowdale, Willowdale West",43.7739798,-79.4138331
46,M6R,West Toronto,"Parkdale, Roncesvalles",43.6416639,-79.4505866
47,M1S,Scarborough,Agincourt,43.7853531,-79.2785494
48,M4S,Central Toronto,Davisville,43.697936,-79.3972908
49,M5S,Downtown Toronto,"University of Toronto, Harbord",43.663461999999996,-79.39775965337452
50,M6S,West Toronto,"Runnymede, Swansea",43.6517776,-79.4759227
51,M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457
52,M8W,Etobicoke,"Alderwood, Long Branch",43.6017173,-79.5452325
53,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.72337025,-79.59745741095173
54,M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374
55,M4Y,Downtown Toronto,Church and Wellesley,43.6655242,-79.3838011
56,NL,NS,PE,43.64590915,-79.3813637083646
57,A,B,C,43.6297882,-79.3915656
